outcome,outcome_label,outcome_unit,pool,pool_label,anomes,actual_value,synth_value,effect_value,actual_index,synth_index,effect_index
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202504,1691.0,1928.8608522841212,-237.8608522841214,79.05563347358579,90.1758229211838,-11.120189447598008
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202505,1662.0,1924.6979927130533,-262.6979927130535,77.69985974754559,89.98120583043729,-12.281346082891702
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202506,1609.0,1920.6734396161053,-311.6734396161055,75.22206638616176,89.79305468050984,-14.570988294348084
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202507,1476.0,1798.979983131555,-322.97998313155495,69.00420757363254,84.10378602765567,-15.099578454023131
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202508,1413.0,1777.403902994443,-364.40390299444266,66.05890603085554,83.0950866290062,-17.036180598150665
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202509,1400.0,1750.846430429897,-350.84643042989705,65.4511453950444,81.85350305890123,-16.40235766385682
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202510,1333.0,1679.182788989837,-346.18278898983704,62.31884057971014,78.50316919073572,-16.184328611025578
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202511,1262.0,1635.0718496364332,-373.0718496364332,58.999532491818606,76.44094668707028,-17.441414195251674
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202512,1347.0,1659.4033986891525,-312.4033986891525,62.97335203366059,77.57846651188183,-14.60511447822124
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202601,1313.0,1657.4794983677734,-344.47949836777343,61.3838242169238,77.48852259783887,-16.104698380915067
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202602,1240.0,1610.218309209214,-370.2183092092141,57.971014492753625,75.27902333843917,-17.30800884568555
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202603,1296.0,1587.925361297663,-291.9253612976629,60.5890603085554,74.23680978483698,-13.647749476281582
